datetime,measured_from,lat,lng,dist,angle,angle_deg
2024:04:27 13:36:33,P3,45.82843055555556,15.220280555555556,16.816560443935963,-1.2695782882226847,-72.74147767660342
2024:04:27 13:36:34,P3,45.82843055555556,15.220283333333333,16.61056180377973,-1.2657231627927512,-72.52059525997467
2024:04:27 13:36:34,P3,45.828425,15.220286111111111,16.227685937981356,-1.2980283233724834,-74.37154461768573
2024:04:27 13:36:35,P3,45.828425,15.22028888888889,16.019931215616918,-1.2943986894503086,-74.1635819127676
2024:04:27 13:36:36,P3,45.82842222222222,15.22029722222222,15.313207386211333,-1.3022563498396242,-74.6137926899225
2024:04:27 13:36:37,P3,45.82842222222222,15.2203,15.105211706900587,-1.2984651304619834,-74.39657182037547
2024:04:27 13:36:38,P3,45.82841944444445,15.220308333333334,14.399037295599515,-1.3070213211680024,-74.88680543653942
2024:04:27 13:36:39,P3,45.82841388888889,15.220316666666667,13.619623346466065,-1.3384008535281346,-76.68472020386919
2024:04:27 13:36:40,P3,45.82841111111112,15.220325,12.91929013554864,-1.3501135403982247,-77.35580772828365
2024:04:27 13:36:41,P3,45.828408333333336,15.220336111111113,12.009810287909437,-1.3594620812760698,-77.8914396651897
2024:04:27 13:36:43,P3,45.82840277777778,15.220347222222223,11.044221934966268,-1.3977403175851457,-80.08462105290417
2024:04:27 13:36:44,P3,45.82840277777778,15.220358333333332,10.194841434137436,-1.3831575652867267,-79.24909089252006
2024:04:27 13:37:11,P3,45.82836666666667,15.220608333333333,9.64380469711821,1.7915796747820574,102.6499540264325
2024:04:27 13:37:12,P3,45.82836666666667,15.220605555555556,9.43332228475203,1.796590446070718,102.93705007337807
